Method,Balanced Acc,F1 Macro,MCC,Attack Recall,Benign Recall,Attack Precision,Benign Precision,FAR,FNR,ROC-AUC,PR-AUC
XGBoost (base),0.9661,0.9665,0.9329,0.9494,0.9828,0.9516,0.982,0.0172,0.0506,0.9927,0.9868
LightGBM,0.9661,0.9664,0.9329,0.9495,0.9828,0.9514,0.9821,0.0172,0.0505,0.9925,0.9865
XGBoost+Optuna,0.9661,0.9666,0.9331,0.9492,0.983,0.9521,0.982,0.017,0.0508,0.9929,0.987
PSO,0.9661,0.9664,0.9329,0.9493,0.9829,0.9517,0.982,0.0171,0.0507,0.9927,0.9868
scale_pos_weight,0.9661,0.9663,0.9326,0.9495,0.9826,0.951,0.9821,0.0174,0.0505,0.9929,0.987
Feat. Importance,0.9657,0.9656,0.9312,0.9495,0.9819,0.949,0.9821,0.0181,0.0505,0.9925,0.9865
Hybrid (ML+DL),0.9651,0.9647,0.9294,0.9494,0.9809,0.9465,0.982,0.0191,0.0506,0.9924,0.9862
Univariate (KB),0.9645,0.9633,0.9266,0.9496,0.9793,0.9423,0.982,0.0207,0.0504,0.9913,0.985
Decision Tree,0.9642,0.9625,0.9251,0.95,0.9784,0.9397,0.9822,0.0216,0.05,0.9894,0.9804
PCA,0.9632,0.961,0.922,0.9495,0.9768,0.9358,0.982,0.0232,0.0505,0.9915,0.9851
MLP,0.9598,0.9547,0.9097,0.9496,0.9699,0.9181,0.9819,0.0301,0.0504,0.9873,0.9806
SMOTE,0.9595,0.9543,0.9089,0.9495,0.9695,0.9171,0.9818,0.0305,0.0505,0.9893,0.9823
Random Forest,0.9562,0.9482,0.8971,0.9497,0.9627,0.9004,0.9818,0.0373,0.0503,0.9855,0.9788
KNN,0.9337,0.9064,0.8205,0.9561,0.9113,0.793,0.9832,0.0887,0.0439,0.975,0.9628
SVM,0.8744,0.8176,0.6732,0.9493,0.7995,0.6272,0.978,0.2005,0.0507,0.9707,0.9628
Naive Bayes,0.8129,0.7309,0.5506,0.9498,0.6759,0.5101,0.9743,0.3241,0.0502,0.8875,0.6816
